Molecule,IStr,Wavelength_micron
HD,"I(HD v=2,J=9->v=0,J=10 angle 00 deg)",1.6795
HD,"I(HD v=2,J=10->v=0,J=8 angle 00 deg)",1.2164
HD,"I(HD v=2,J=10->v=0,J=9 angle 00 deg)",1.3359
HD,"I(HD v=2,J=10->v=0,J=10 angle 00 deg)",1.496
HD,"I(HD v=2,J=0->v=1,J=1 angle 00 deg)",2.9675
HD,"I(HD v=2,J=0->v=1,J=2 angle 00 deg)",3.1253
HD,"I(HD v=2,J=1->v=1,J=0 angle 00 deg)",2.8274
HD,"I(HD v=2,J=1->v=1,J=1 angle 00 deg)",2.8973
HD,"I(HD v=2,J=1->v=1,J=2 angle 00 deg)",3.0475
HD,"I(HD v=2,J=1->v=1,J=3 angle 00 deg)",3.303
HD,"I(HD v=2,J=2->v=1,J=0 angle 00 deg)",2.7031
HD,"I(HD v=2,J=2->v=1,J=1 angle 00 deg)",2.7669
HD,"I(HD v=2,J=2->v=1,J=2 angle 00 deg)",2.9036
HD,"I(HD v=2,J=2->v=1,J=3 angle 00 deg)",3.1346
HD,"I(HD v=2,J=2->v=1,J=4 angle 00 deg)",3.5031
HD,"I(HD v=2,J=3->v=1,J=1 angle 00 deg)",2.593
HD,"I(HD v=2,J=3->v=1,J=2 angle 00 deg)",2.7127
HD,"I(HD v=2,J=3->v=1,J=3 angle 00 deg)",2.9132
HD,"I(HD v=2,J=3->v=1,J=4 angle 00 deg)",3.2289
HD,"I(HD v=2,J=3->v=1,J=5 angle 00 deg)",3.7288
HD,"I(HD v=2,J=4->v=1,J=2 angle 00 deg)",2.4956
HD,"I(HD v=2,J=4->v=1,J=3 angle 00 deg)",2.6643
HD,"I(HD v=2,J=4->v=1,J=4 angle 00 deg)",2.9259
HD,"I(HD v=2,J=4->v=1,J=5 angle 00 deg)",3.3306
HD,"I(HD v=2,J=4->v=1,J=6 angle 00 deg)",3.9835
HD,"I(HD v=2,J=5->v=1,J=3 angle 00 deg)",2.4096
HD,"I(HD v=2,J=5->v=1,J=4 angle 00 deg)",2.6217
HD,"I(HD v=2,J=5->v=1,J=5 angle 00 deg)",2.9419
HD,"I(HD v=2,J=5->v=1,J=6 angle 00 deg)",3.44
HD,"I(HD v=2,J=5->v=1,J=7 angle 00 deg)",4.2715
HD,"I(HD v=2,J=6->v=1,J=4 angle 00 deg)",2.334
HD,"I(HD v=2,J=6->v=1,J=5 angle 00 deg)",2.5845
HD,"I(HD v=2,J=6->v=1,J=6 angle 00 deg)",2.9612
HD,"I(HD v=2,J=6->v=1,J=7 angle 00 deg)",3.5573
HD,"I(HD v=2,J=6->v=1,J=8 angle 00 deg)",4.598
HD,"I(HD v=2,J=7->v=1,J=5 angle 00 deg)",2.2678
HD,"I(HD v=2,J=7->v=1,J=6 angle 00 deg)",2.5527
HD,"I(HD v=2,J=7->v=1,J=7 angle 00 deg)",2.9837
HD,"I(HD v=2,J=7->v=1,J=8 angle 00 deg)",3.6829
HD,"I(HD v=2,J=7->v=1,J=9 angle 00 deg)",4.9691
HD,"I(HD v=2,J=8->v=1,J=6 angle 00 deg)",2.21
HD,"I(HD v=2,J=8->v=1,J=7 angle 00 deg)",2.526
HD,"I(HD v=2,J=8->v=1,J=8 angle 00 deg)",3.0096
HD,"I(HD v=2,J=8->v=1,J=9 angle 00 deg)",3.8171
HD,"I(HD v=2,J=8->v=1,J=10 angle 00 deg)",5.3927
HD,"I(HD v=2,J=9->v=1,J=7 angle 00 deg)",2.16
HD,"I(HD v=2,J=9->v=1,J=8 angle 00 deg)",2.5041
HD,"I(HD v=2,J=9->v=1,J=9 angle 00 deg)",3.039
HD,"I(HD v=2,J=9->v=1,J=10 angle 00 deg)",3.9602
HD,"I(HD v=2,J=10->v=1,J=8 angle 00 deg)",2.117
HD,"I(HD v=2,J=10->v=1,J=9 angle 00 deg)",2.487
HD,"I(HD v=2,J=10->v=1,J=10 angle 00 deg)",3.0718
HD,"I(HD v=2,J=1->v=2,J=0 angle 00 deg)",122.5585
HD,"I(HD v=2,J=2->v=2,J=0 angle 00 deg)",40.9498
HD,"I(HD v=2,J=2->v=2,J=1 angle 00 deg)",61.4977
HD,"I(HD v=2,J=3->v=2,J=1 angle 00 deg)",24.6862
HD,"I(HD v=2,J=3->v=2,J=2 angle 00 deg)",41.2411
HD,"I(HD v=2,J=4->v=2,J=2 angle 00 deg)",17.7575
HD,"I(HD v=2,J=4->v=2,J=3 angle 00 deg)",31.1853
HD,"I(HD v=2,J=5->v=2,J=3 angle 00 deg)",13.9405
HD,"I(HD v=2,J=5->v=2,J=4 angle 00 deg)",25.21
HD,"I(HD v=2,J=6->v=2,J=4 angle 00 deg)",11.5379
HD,"I(HD v=2,J=6->v=2,J=5 angle 00 deg)",21.2747
HD,"I(HD v=2,J=7->v=2,J=5 angle 00 deg)",9.8967
HD,"I(HD v=2,J=7->v=2,J=6 angle 00 deg)",18.505
HD,"I(HD v=2,J=8->v=2,J=6 angle 00 deg)",8.7125
HD,"I(HD v=2,J=8->v=2,J=7 angle 00 deg)",16.464
HD,"I(HD v=2,J=9->v=2,J=7 angle 00 deg)",7.8239
HD,"I(HD v=2,J=9->v=2,J=8 angle 00 deg)",14.9087
HD,"I(HD v=2,J=10->v=2,J=8 angle 00 deg)",7.1377
HD,"I(HD v=2,J=10->v=2,J=9 angle 00 deg)",13.6936
HD,"I(HD v=3,J=0->v=0,J=1 angle 00 deg)",0.9727
HD,"I(HD v=3,J=0->v=0,J=2 angle 00 deg)",0.9899
HD,"I(HD v=3,J=1->v=0,J=0 angle 00 deg)",0.9572
HD,"I(HD v=3,J=1->v=0,J=1 angle 00 deg)",0.9654
HD,"I(HD v=3,J=1->v=0,J=2 angle 00 deg)",0.9823
HD,"I(HD v=3,J=1->v=0,J=3 angle 00 deg)",1.0086
HD,"I(HD v=3,J=2->v=0,J=0 angle 00 deg)",0.9432
HD,"I(HD v=3,J=2->v=0,J=1 angle 00 deg)",0.9512
HD,"I(HD v=3,J=2->v=0,J=2 angle 00 deg)",0.9675
HD,"I(HD v=3,J=2->v=0,J=3 angle 00 deg)",0.993
HD,"I(HD v=3,J=2->v=0,J=4 angle 00 deg)",1.0289
HD,"I(HD v=3,J=3->v=0,J=1 angle 00 deg)",0.9307
HD,"I(HD v=3,J=3->v=0,J=2 angle 00 deg)",0.9464
HD,"I(HD v=3,J=3->v=0,J=3 angle 00 deg)",0.9707
HD,"I(HD v=3,J=3->v=0,J=4 angle 00 deg)",1.005
HD,"I(HD v=3,J=3->v=0,J=5 angle 00 deg)",1.0508
HD,"I(HD v=3,J=4->v=0,J=2 angle 00 deg)",0.9197
HD,"I(HD v=3,J=4->v=0,J=3 angle 00 deg)",0.9427
HD,"I(HD v=3,J=4->v=0,J=4 angle 00 deg)",0.975
HD,"I(HD v=3,J=4->v=0,J=5 angle 00 deg)",1.0181
HD,"I(HD v=3,J=4->v=0,J=6 angle 00 deg)",1.0744
HD,"I(HD v=3,J=5->v=0,J=3 angle 00 deg)",0.9103
HD,"I(HD v=3,J=5->v=0,J=4 angle 00 deg)",0.9403
HD,"I(HD v=3,J=5->v=0,J=5 angle 00 deg)",0.9803
HD,"I(HD v=3,J=5->v=0,J=6 angle 00 deg)",1.0324
HD,"I(HD v=3,J=5->v=0,J=7 angle 00 deg)",1.0996
HD,"I(HD v=3,J=6->v=0,J=4 angle 00 deg)",0.9023
HD,"I(HD v=3,J=6->v=0,J=5 angle 00 deg)",0.939
HD,"I(HD v=3,J=6->v=0,J=6 angle 00 deg)",0.9867
HD,"I(HD v=3,J=6->v=0,J=7 angle 00 deg)",1.0479
HD,"I(HD v=3,J=6->v=0,J=8 angle 00 deg)",1.1265
HD,"I(HD v=3,J=7->v=0,J=5 angle 00 deg)",0.8957
HD,"I(HD v=3,J=7->v=0,J=6 angle 00 deg)",0.939
HD,"I(HD v=3,J=7->v=0,J=7 angle 00 deg)",0.9943
HD,"I(HD v=3,J=7->v=0,J=8 angle 00 deg)",1.0647
HD,"I(HD v=3,J=7->v=0,J=9 angle 00 deg)",1.1552
HD,"I(HD v=3,J=8->v=0,J=6 angle 00 deg)",0.8906
HD,"I(HD v=3,J=8->v=0,J=7 angle 00 deg)",0.9402
HD,"I(HD v=3,J=8->v=0,J=8 angle 00 deg)",1.0029
HD,"I(HD v=3,J=8->v=0,J=9 angle 00 deg)",1.0828
HD,"I(HD v=3,J=8->v=0,J=10 angle 00 deg)",1.1857
HD,"I(HD v=3,J=9->v=0,J=7 angle 00 deg)",0.8869
HD,"I(HD v=3,J=9->v=0,J=8 angle 00 deg)",0.9425
HD,"I(HD v=3,J=9->v=0,J=9 angle 00 deg)",1.0127
HD,"I(HD v=3,J=9->v=0,J=10 angle 00 deg)",1.1021
HD,"I(HD v=3,J=10->v=0,J=8 angle 00 deg)",0.8845
HD,"I(HD v=3,J=10->v=0,J=9 angle 00 deg)",0.9461
HD,"I(HD v=3,J=10->v=0,J=10 angle 00 deg)",1.0237
HD,"I(HD v=3,J=0->v=1,J=1 angle 00 deg)",1.5035
HD,"I(HD v=3,J=0->v=1,J=2 angle 00 deg)",1.5429
HD,"I(HD v=3,J=1->v=1,J=0 angle 00 deg)",1.4675
HD,"I(HD v=3,J=1->v=1,J=1 angle 00 deg)",1.4861
HD,"I(HD v=3,J=1->v=1,J=2 angle 00 deg)",1.5246
HD,"I(HD v=3,J=1->v=1,J=3 angle 00 deg)",1.586
HD,"I(HD v=3,J=2->v=1,J=0 angle 00 deg)",1.4348
HD,"I(HD v=3,J=2->v=1,J=1 angle 00 deg)",1.4526
HD,"I(HD v=3,J=2->v=1,J=2 angle 00 deg)",1.4894
HD,"I(HD v=3,J=2->v=1,J=3 angle 00 deg)",1.5479
HD,"I(HD v=3,J=2->v=1,J=4 angle 00 deg)",1.6327
HD,"I(HD v=3,J=3->v=1,J=1 angle 00 deg)",1.4053
HD,"I(HD v=3,J=3->v=1,J=2 angle 00 deg)",1.4398
HD,"I(HD v=3,J=3->v=1,J=3 angle 00 deg)",1.4944
HD,"I(HD v=3,J=3->v=1,J=4 angle 00 deg)",1.5733
HD,"I(HD v=3,J=3->v=1,J=5 angle 00 deg)",1.6832
HD,"I(HD v=3,J=4->v=1,J=2 angle 00 deg)",1.379
HD,"I(HD v=3,J=4->v=1,J=3 angle 00 deg)",1.429
HD,"I(HD v=3,J=4->v=1,J=4 angle 00 deg)",1.501
HD,"I(HD v=3,J=4->v=1,J=5 angle 00 deg)",1.6008
HD,"I(HD v=3,J=4->v=1,J=6 angle 00 deg)",1.7377
HD,"I(HD v=3,J=5->v=1,J=3 angle 00 deg)",1.3557
HD,"I(HD v=3,J=5->v=1,J=4 angle 00 deg)",1.4204
HD,"I(HD v=3,J=5->v=1,J=5 angle 00 deg)",1.5094
HD,"I(HD v=3,J=5->v=1,J=6 angle 00 deg)",1.6305
HD,"I(HD v=3,J=5->v=1,J=7 angle 00 deg)",1.7962
HD,"I(HD v=3,J=6->v=1,J=4 angle 00 deg)",1.3353
HD,"I(HD v=3,J=6->v=1,J=5 angle 00 deg)",1.4137
HD,"I(HD v=3,J=6->v=1,J=6 angle 00 deg)",1.5194
HD,"I(HD v=3,J=6->v=1,J=7 angle 00 deg)",1.6624
HD,"I(HD v=3,J=6->v=1,J=8 angle 00 deg)",1.859
HD,"I(HD v=3,J=7->v=1,J=5 angle 00 deg)",1.3177
HD,"I(HD v=3,J=7->v=1,J=6 angle 00 deg)",1.4091
HD,"I(HD v=3,J=7->v=1,J=7 angle 00 deg)",1.5312
HD,"I(HD v=3,J=7->v=1,J=8 angle 00 deg)",1.6965
HD,"I(HD v=3,J=7->v=1,J=9 angle 00 deg)",1.9262
HD,"I(HD v=3,J=8->v=1,J=6 angle 00 deg)",1.3028
HD,"I(HD v=3,J=8->v=1,J=7 angle 00 deg)",1.4066
HD,"I(HD v=3,J=8->v=1,J=8 angle 00 deg)",1.5448
HD,"I(HD v=3,J=8->v=1,J=9 angle 00 deg)",1.733
HD,"I(HD v=3,J=8->v=1,J=10 angle 00 deg)",1.998
HD,"I(HD v=3,J=9->v=1,J=7 angle 00 deg)",1.2906
HD,"I(HD v=3,J=9->v=1,J=8 angle 00 deg)",1.406
HD,"I(HD v=3,J=9->v=1,J=9 angle 00 deg)",1.5602
HD,"I(HD v=3,J=9->v=1,J=10 angle 00 deg)",1.7718
HD,"I(HD v=3,J=10->v=1,J=8 angle 00 deg)",1.2808
HD,"I(HD v=3,J=10->v=1,J=9 angle 00 deg)",1.4075
HD,"I(HD v=3,J=10->v=1,J=10 angle 00 deg)",1.5774
HD,"I(HD v=3,J=0->v=2,J=1 angle 00 deg)",3.1252
HD,"I(HD v=3,J=0->v=2,J=2 angle 00 deg)",3.2925
HD,"I(HD v=3,J=1->v=2,J=0 angle 00 deg)",2.9768
HD,"I(HD v=3,J=1->v=2,J=1 angle 00 deg)",3.051
HD,"I(HD v=3,J=1->v=2,J=2 angle 00 deg)",3.2102
HD,"I(HD v=3,J=1->v=2,J=3 angle 00 deg)",3.4812
HD,"I(HD v=3,J=2->v=2,J=0 angle 00 deg)",2.8454
HD,"I(HD v=3,J=2->v=2,J=1 angle 00 deg)",2.913
HD,"I(HD v=3,J=2->v=2,J=2 angle 00 deg)",3.0579
HD,"I(HD v=3,J=2->v=2,J=3 angle 00 deg)",3.3028
HD,"I(HD v=3,J=2->v=2,J=4 angle 00 deg)",3.694
HD,"I(HD v=3,J=3->v=2,J=1 angle 00 deg)",2.7291
HD,"I(HD v=3,J=3->v=2,J=2 angle 00 deg)",2.8558
HD,"I(HD v=3,J=3->v=2,J=3 angle 00 deg)",3.0683
HD,"I(HD v=3,J=3->v=2,J=4 angle 00 deg)",3.4031
HD,"I(HD v=3,J=3->v=2,J=5 angle 00 deg)",3.9342
HD,"I(HD v=3,J=4->v=2,J=2 angle 00 deg)",2.6264
HD,"I(HD v=3,J=4->v=2,J=3 angle 00 deg)",2.805
HD,"I(HD v=3,J=4->v=2,J=4 angle 00 deg)",3.0822
HD,"I(HD v=3,J=4->v=2,J=5 angle 00 deg)",3.5115
HD,"I(HD v=3,J=4->v=2,J=6 angle 00 deg)",4.2057
HD,"I(HD v=3,J=5->v=2,J=3 angle 00 deg)",2.5358
HD,"I(HD v=3,J=5->v=2,J=4 angle 00 deg)",2.7603
HD,"I(HD v=3,J=5->v=2,J=5 angle 00 deg)",3.0997
HD,"I(HD v=3,J=5->v=2,J=6 angle 00 deg)",3.6283
HD,"I(HD v=3,J=5->v=2,J=7 angle 00 deg)",4.5133
HD,"I(HD v=3,J=6->v=2,J=4 angle 00 deg)",2.4564
HD,"I(HD v=3,J=6->v=2,J=5 angle 00 deg)",2.7215
HD,"I(HD v=3,J=6->v=2,J=6 angle 00 deg)",3.1208
HD,"I(HD v=3,J=6->v=2,J=7 angle 00 deg)",3.7538
HD,"I(HD v=3,J=6->v=2,J=8 angle 00 deg)",4.8625
HD,"I(HD v=3,J=7->v=2,J=5 angle 00 deg)",2.3869
HD,"I(HD v=3,J=7->v=2,J=6 angle 00 deg)",2.6885
HD,"I(HD v=3,J=7->v=2,J=7 angle 00 deg)",3.1455
HD,"I(HD v=3,J=7->v=2,J=8 angle 00 deg)",3.8884
HD,"I(HD v=3,J=7->v=2,J=9 angle 00 deg)",5.2603
HD,"I(HD v=3,J=8->v=2,J=6 angle 00 deg)",2.3264
HD,"I(HD v=3,J=8->v=2,J=7 angle 00 deg)",2.661
HD,"I(HD v=3,J=8->v=2,J=8 angle 00 deg)",3.1739
HD,"I(HD v=3,J=8->v=2,J=9 angle 00 deg)",4.0324
HD,"I(HD v=3,J=8->v=2,J=10 angle 00 deg)",5.7154
HD,"I(HD v=3,J=9->v=2,J=7 angle 00 deg)",2.2742
HD,"I(HD v=3,J=9->v=2,J=8 angle 00 deg)",2.6387
HD,"I(HD v=3,J=9->v=2,J=9 angle 00 deg)",3.2062
HD,"I(HD v=3,J=9->v=2,J=10 angle 00 deg)",4.1864
HD,"I(HD v=3,J=10->v=2,J=8 angle 00 deg)",2.2296
HD,"I(HD v=3,J=10->v=2,J=9 angle 00 deg)",2.6216
HD,"I(HD v=3,J=10->v=2,J=10 angle 00 deg)",3.2423
HD,"I(HD v=3,J=1->v=3,J=0 angle 00 deg)",128.4151
HD,"I(HD v=3,J=2->v=3,J=0 angle 00 deg)",42.908
HD,"I(HD v=3,J=2->v=3,J=1 angle 00 deg)",64.4396
HD,"I(HD v=3,J=3->v=3,J=1 angle 00 deg)",25.8689
HD,"I(HD v=3,J=3->v=3,J=2 angle 00 deg)",43.2189
HD,"I(HD v=3,J=4->v=3,J=2 angle 00 deg)",18.6109
HD,"I(HD v=3,J=4->v=3,J=3 angle 00 deg)",32.6861
HD,"I(HD v=3,J=5->v=3,J=3 angle 00 deg)",14.613
HD,"I(HD v=3,J=5->v=3,J=4 angle 00 deg)",26.4284
HD,"I(HD v=3,J=6->v=3,J=4 angle 00 deg)",12.0971
HD,"I(HD v=3,J=6->v=3,J=5 angle 00 deg)",22.3084
HD,"I(HD v=3,J=7->v=3,J=5 angle 00 deg)",10.3792
HD,"I(HD v=3,J=7->v=3,J=6 angle 00 deg)",19.4097
